lat,lng
34.16,-118.168
37.434444,-122.15
42.64583,-83.255
40.8135,-74.0745
41.8623,-87.6167
28.539,-81.4028
42.0909,-71.2643
38.890,-76.972
32.7796,-96.7596
44.82917,-0.59778
50.4329,2.8151
45.7237,4.8321
43.2698,5.3959
43.6221,3.8121
47.256,-1.5247
48.8414,2.2530
48.9245,2.3602
45.4608,4.3902
43.5833,1.4340
35.1901,129.0582
35.8298,128.6902
36.3653,127.3249
35.1337,126.8749
37.4351,126.6907
35.868111,127.064444
33.2462,126.5093
37.5683,126.8973
37.287224,127.03671
35.5352,129.2596
35.9919,140.6411
34.6568,135.1696
37.8825,139.0592
33.20056,131.6575
34.6108,135.5138
38.3354,140.9506
35.903,139.7178
43.015,141.4100
34.7435,137.9708
35.5099,139.6064
52.5147,13.2395
50.9335,6.8752
51.4926,7.4519
50.068056,8.645806
51.5546,7.0675
53.5871,9.8986
52.36,24.161944
48.7923,9.2321
49.4263,11.1257
48.2188,11.6248
51.3458,12.3483
49.4342,7.7768
-26.2348,27.9827
-26.1975,28.0609
-25.4617,30.9297
-25.5787,27.1609
-29.1173,26.2088
-33.9048,18.4098
-29.829,31.0304
-23.9248,29.4688
-33.9379,25.5992
-25.7533,28.2229
-19.8659,-43.9711
-15.7836,-47.8992
-15.6040,-56.1216
-25.4482,-49.2770
-3.8073,-38.5224
-3.0832,-60.0281
-5.8268,-35.2124
-30.0654,-51.2359
-8.0407,-35.0082
-22.9121,-43.2302
-12.9788,-38.5044
-23.5453,-46.4743
56.8326,60.5734
54.6982,20.5337
55.821,49.1608
55.7158,37.5537
55.8177,37.4402
56.3375,43.9633
47.2094,39.7378
43.4011,39.9563
53.278,50.2375
59.9727,30.2214
54.182778,45.201389
48.7344,44.5486