lat,lng,name,icon
34.16,-118.168,Rose Bowl,soccer
37.434444,-122.15,Stanford Stadium,soccer
42.64583,-83.255,Pontiac Silverdome,soccer
40.8135,-74.0745,Giants Stadium,soccer
41.8623,-87.6167,Soldier Field,soccer
28.539,-81.4028,Citrus Bowl,soccer
42.0909,-71.2643,Foxboro Stadium,soccer
38.890,-76.972,RFK Memorial Stadium,soccer
32.7796,-96.7596,Cotton Bowl,soccer
44.82917,-0.59778,Stade Lescure,soccer
50.4329,2.8151,Stade Felix Bollaert,soccer
45.7237,4.8321,Stade de Gerland,soccer
43.2698,5.3959,Velodrome,soccer
43.6221,3.8121,Stade de la Mosson,soccer
47.256,-1.5247,Stade de la Beaujoire,soccer
48.8414,2.2530,Parc des Princes,soccer
48.9245,2.3602,Stade de France,soccer
45.4608,4.3902,Stade Geoffroy Guichard,soccer
43.5833,1.4340,Stadium Municipal de Toulouse,soccer
35.1901,129.0582,Asiad Main Stadium,soccer
35.8298,128.6902,Daegu World Cup Stadium,soccer
36.3653,127.3249,Daejeon World Cup Stadium,soccer
35.1337,126.8749,Gwangju World Cup Stadium,soccer
37.4351,126.6907,Incheon Munhak Stadium,soccer
35.868111,127.064444,Jeonju World Cup Stadium,soccer
33.2462,126.5093,Jeju World Cup Stadium,soccer
37.5683,126.8973,Seoul World Cup Stadium,soccer
37.287224,127.03671,Suwon World Cup Stadium,soccer
35.5352,129.2596,Ulsan Munsu Football Stadium,soccer
35.9919,140.6411,Kashima Soccer Stadium,soccer
34.6568,135.1696,Kobe Wing Stadium,soccer
37.8825,139.0592,Niigata Stadium,soccer
33.20056,131.6575,Oita Stadium Big Eye,soccer
34.6108,135.5138,Osaka Nagai Stadium,soccer
38.3354,140.9506,Miyagi Stadium,soccer
35.903,139.7178,Saitama Stadium 2002,soccer
43.015,141.4100,Sapporo Dome,soccer
34.7435,137.9708,Shizuoka Stadium ECOPA,soccer
35.5099,139.6064,International Stadium Yokohama,soccer
52.5147,13.2395,Olympiastadion,soccer
50.9335,6.8752,FIFA World Cup Stadium Cologne,soccer
51.4926,7.4519,FIFA World Cup Stadium Dortmund,soccer
50.068056,8.645806,FIFA World Cup Stadium Frankfurt,soccer
51.5546,7.0675,FIFA World Cup Stadium Gelsenkirchen,soccer
53.5871,9.8986,FIFA World Cup Stadium Hamburg,soccer
52.36,24.161944,FIFA World Cup Stadium Hanover,soccer
48.7923,9.2321,Gottlieb-Daimler-Stadion,soccer
49.4263,11.1257,Frankenstadion,soccer
48.2188,11.6248,FIFA World Cup Stadium Munich,soccer
51.3458,12.3483,Zentralstadion,soccer
49.4342,7.7768,Fritz-Walter-Stadion,soccer
-26.2348,27.9827,Soccer City,soccer
-26.1975,28.0609,Ellis Park,soccer
-25.4617,30.9297,Mbombela Stadium,soccer
-25.5787,27.1609,Royal Bafokeng Stadium,soccer
-29.1173,26.2088,Free State Stadium,soccer
-33.9048,18.4098,Green Point Stadium,soccer
-29.829,31.0304,Durban Stadium,soccer
-23.9248,29.4688,Peter Mokaba Stadium,soccer
-33.9379,25.5992,Nelson Mandela Bay Stadium,soccer
-25.7533,28.2229,Loftus Versfeld Stadium,soccer
-19.8659,-43.9711,Estádio Mineirão,soccer
-15.7836,-47.8992,Estádio Nacional de Brasília,soccer
-15.6040,-56.1216,Arena Pantanal,soccer
-25.4482,-49.2770,Arena da Baixada,soccer
-3.8073,-38.5224,Estádio Castelão,soccer
-3.0832,-60.0281,Arena Amazônia,soccer
-5.8268,-35.2124,Arena das Dunas,soccer
-30.0654,-51.2359,Estádio Beira-Rio,soccer
-8.0407,-35.0082,Arena Pernambuco,soccer
-22.9121,-43.2302,Estádio do Maracanã,soccer
-12.9788,-38.5044,Arena Fonte Nova,soccer
-23.5453,-46.4743,Arena de São Paulo,soccer
56.8326,60.5734,Yekaterinburg Arena,soccer
54.6982,20.5337,Kaliningrad Stadium,soccer
55.821,49.1608,Kazan Arena,soccer
55.7158,37.5537,Luzhniki Stadium,soccer
55.8177,37.4402,Spartak Stadium,soccer
56.3375,43.9633,Nizhny Novgorod Stadium,soccer
47.2094,39.7378,Rostov Arena,soccer
43.4011,39.9563,Fisht Stadium,soccer
53.278,50.2375,Samara Arena,soccer
59.9727,30.2214,Saint Petersburg Stadium,soccer
54.182778,45.201389,Mordovia Arena,soccer
48.7344,44.5486,Volgograd Arena,soccer