Stadium,Latitude,Longitude,World Cup,City,Stadium Capacity,,Coordinates
Rose Bowl,34.16,-118.168,1994 USA,Pasadena,91794,,34.161°N 118.168°W
Stanford Stadium,37.434444,-122.15,1994 USA,Standford,80906,,37°26′4″N 122°09′40″W
Pontiac Silverdome,42.64583,-83.255,1994 USA,Pontiac,77557,,42°38′45″N 83°15′18″W
Giants Stadium,40.8135,-74.0745,1994 USA,East Rutherford,75338,,40°48′44″N 74°4′37″W
Soldier Field,41.8623,-87.6167,1994 USA,Chicago,63117,,41.8623°N 87.6167°W
Citrus Bowl,28.539,-81.4028,1994 USA,Orlando,61219,,28°32′20″N 81°24′10″W
Foxboro Stadium,42.0909,-71.2643,1994 USA,Foxborough,53644,,42°5′33.72″N 71°16′2.79″W
RFK Memorial Stadium,38.890,-76.972,1994 USA,"Washington, D.C.",53142,,38.890°N 76.972°W
Cotton Bowl,32.7796,-96.7596,1994 USA,Dallas,63998,,"32.7796° N, 96.7596° W"
Stade Lescure,44.82917,-0.59778,1998 France,Bordeaux,35200,,44°49′45″N 0°35′52″W
Stade Felix Bollaert,50.4329,2.8151,1998 France,Lens,41275,,50°25′58.26″N 2°48′53.47″E
Stade de Gerland,45.7237,4.8321,1998 France,Lyon,44000,,45°43′26″N 4°49′56″E
Velodrome,43.2698,5.3959,1998 France,Marseille,60000,,48°55′28″N 2°21′36″E
Stade de la Mosson,43.6221,3.8121,1998 France,Montpellier,35500,,43°37′19.85″N 3°48′43.28″E
Stade de la Beaujoire,47.256,-1.5247,1998 France,Nantes,35500,,47°15′20.27″N 1°31′31.35″W
Parc des Princes,48.8414,2.2530,1998 France,Paris,49000,,48°50′29″N 2°15′11″E
Stade de France,48.9245,2.3602,1998 France,Saint-Denis,80000,,48°55′28″N 2°21′36″E
Stade Geoffroy Guichard,45.4608,4.3902,1998 France,Saint-Etienne,36000,,45°27′38.76″N 4°23′24.42″E
Stadium Municipal de Toulouse,43.5833,1.4340,1998 France,Toulouse,37000,,43°34′59.93″N 1°26′2.57″E
Asiad Main Stadium,35.1901,129.0582,2002 Korea/Japan,Busan,54534,,35°11′24.0″N 129°03′29.6″E
Daegu World Cup Stadium,35.8298,128.6902,2002 Korea/Japan,Daegu,65857,,"35.8298° N, 128.6902° E"
Daejeon World Cup Stadium,36.3653,127.3249,2002 Korea/Japan,Daejeon,41000,,"36.3653° N, 127.3249° E"
Gwangju World Cup Stadium,35.1337,126.8749,2002 Korea/Japan,Gwangju,42880,,35°08′01.2″N 126°52′29.5″E
Incheon Munhak Stadium,37.4351,126.6907,2002 Korea/Japan,Incheon,50324,,37°26′06.5″N 126°41′26.9″E
Jeonju World Cup Stadium,35.868111,127.064444,2002 Korea/Japan,Jeonju,42477,,35.868111°N 127.064444°E
Jeju World Cup Stadium,33.2462,126.5093,2002 Korea/Japan,Seogwipo,42256,,33°14′46.10″N 126°30′33.14″E
Seoul World Cup Stadium,37.5683,126.8973,2002 Korea/Japan,Seoul,64677,,37°34′05.6″N 126°53′50.5″E
Suwon World Cup Stadium,37.287224,127.03671,2002 Korea/Japan,Suwon,43188,,37°17′10.6″N 127°02′12.8″E
Ulsan Munsu Football Stadium,35.5352,129.2596,2002 Korea/Japan,Ulsan,43512,,35°32′07″N 129°15′34″E
Kashima Soccer Stadium,35.9919,140.6411,2002 Korea/Japan,Ibaraki Prefectual,41800,,35°59′30.1″N 140°38′25.8″E
Kobe Wing Stadium,34.6568,135.1696,2002 Korea/Japan,Kobe,42000,,34°39′24″N 135°10′08″E
Niigata Stadium,37.8825,139.0592,2002 Korea/Japan,Niigata,42300,,37°52′57″N 139°03′33″E
Oita Stadium Big Eye,33.20056,131.6575,2002 Korea/Japan,Oita,43000,,33°12′2″N 131°39′27″E
Osaka Nagai Stadium,34.6108,135.5138,2002 Korea/Japan,Osaka,50000,,34°36′50.83″N 135°31′6.42″E
Miyagi Stadium,38.3354,140.9506,2002 Korea/Japan,Miyagi,49133,,38°20′7″N 140°57′2″E
Saitama Stadium 2002,35.903,139.7178,2002 Korea/Japan,Saitama,63700,,35°54′11.2″N 139°43′3.0″E
Sapporo Dome,43.015,141.4100,2002 Korea/Japan,Sapporo,42585,,43°0′54.7″N 141°24′35.3″E
Shizuoka Stadium ECOPA,34.7435,137.9708,2002 Korea/Japan,Fukuroi,51349,,34°44′35.60″N 137°58′13.81″E
International Stadium Yokohama,35.5099,139.6064,2002 Korea/Japan,Yokohama,72370,,35°30′36.14″N 139°36′22.50″E
Olympiastadion,52.5147,13.2395,2006 Germany,Berlin,72000,,52°30′53″N 13°14′22″E
FIFA World Cup Stadium Cologne,50.9335,6.8752,2006 Germany,Cologne,45000,,50°56′0.59″N 6°52′29.99″E
FIFA World Cup Stadium Dortmund,51.4926,7.4519,2006 Germany,Dortmund,65000,,51°29′33.25″N 7°27′6.63″E
FIFA World Cup Stadium Frankfurt,50.068056,8.645806,2006 Germany,Frankfurt,48000,,50°4′6.86″N 8°38′43.65″E
FIFA World Cup Stadium Gelsenkirchen,51.5546,7.0675,2006 Germany,Gelsenkirchen,52000,,51°33′16.21″N 7°4′3.32″E
FIFA World Cup Stadium Hamburg,53.5871,9.8986,2006 Germany,Hamburg,50000,,53°35′13.77″N 9°53′55.02″E
FIFA World Cup Stadium Hanover,52.36,24.161944,2006 Germany,Hanover,43000,,52°21′36.24″N 9°43′52.31″E
Gottlieb-Daimler-Stadion,48.7923,9.2321,2006 Germany,Stuttgart,52000,,48°47′32.17″N 9°13′55.31″E
Frankenstadion,49.4263,11.1257,2006 Germany,Nuremberg,41000,,49°25′34″N 11°7′33″E
FIFA World Cup Stadium Munich,48.2188,11.6248,2006 Germany,Munich,66000,,48°13′7.59″N 11°37′29.11″E
Zentralstadion,51.3458,12.3483,2006 Germany,Leipzig,43000,,51°20′44.86″N 12°20′53.59″E
Fritz-Walter-Stadion,49.4342,7.7768,2006 Germany,Kaiserslautern,46000,,49°26′4.96″N 7°46′35.24″E
Soccer City,-26.2348,27.9827,2010 South Africa,Johannesburg,95000,,26°14′5.27″S 27°58′56.47″E
Ellis Park,-26.1975,28.0609,2010 South Africa,Johannesburg,62500,,26°11′51.07″S 28°3′38.76″E
Mbombela Stadium,-25.4617,30.9297,2010 South Africa,Nelspruit,46000,,25°27′42″S 30°55′47″E
Royal Bafokeng Stadium,-25.5787,27.1609,2010 South Africa,Rustenburg,45000,,25°34′43″S 27°09′39″E
Free State Stadium,-29.1173,26.2088,2010 South Africa,Bloemfontein,45000,,29°07′02.25″S 26°12′31.85″E
Green Point Stadium,-33.9048,18.4098,2010 South Africa,Cape Town,70000,,33°54′12.46″S 18°24′40.15″E
Durban Stadium,-29.829,31.0304,2010 South Africa,Durban,70000,,29°49′46″S 31°01′49″E
Peter Mokaba Stadium,-23.9248,29.4688,2010 South Africa,Polokwane,45000,,23°55′29″S 29°28′08″E
Nelson Mandela Bay Stadium,-33.9379,25.5992,2010 South Africa,Port Elizabeth,48000,,33°56′16″S 25°35′56″E
Loftus Versfeld Stadium,-25.7533,28.2229,2010 South Africa,Pretoria,50000,,25°45′12″S 28°13′22″E
Estádio Mineirão,-19.8659,-43.9711,2014 Brazil,Belo Horizonte,58170,,19°51′57″S 43°58′15″W
Estádio Nacional de Brasília,-15.7836,-47.8992,2014 Brazil,Brasília,69349,,15°47′0.60″S 47°53′56.99″W
Arena Pantanal,-15.6040,-56.1216,2014 Brazil,Cuiabá,41112,,"15.6040° S, 56.1216° W"
Arena da Baixada,-25.4482,-49.2770,2014 Brazil,Curitiba,39631,,25°26′54″S 49°16′37″W
Estádio Castelão,-3.8073,-38.5224,2014 Brazil,Fortaleza,60342,,3°48′26″S 38°31′21″W
Arena Amazônia,-3.0832,-60.0281,2014 Brazil,Manaus,40549,,3°4′59″S 60°1′41″W
Arena das Dunas,-5.8268,-35.2124,2014 Brazil,Natal,39971,,5.826936°S 35.212371°W
Estádio Beira-Rio,-30.0654,-51.2359,2014 Brazil,Porto Alegre,43394,,30°3′56.21″S 51°14′9.91″W
Arena Pernambuco,-8.0407,-35.0082,2014 Brazil,São Lourenço da Mata,42610,,08°02′26″S 35°00′30″W
Estádio do Maracanã,-22.9121,-43.2302,2014 Brazil,Rio de Janeiro,74738,,22°54′44″S 43°13′49″W
Arena Fonte Nova,-12.9788,-38.5044,2014 Brazil,Salvador,51900,,12°58′43″S 38°30′15″W
Arena de São Paulo,-23.5453,-46.4743,2014 Brazil,São Paulo,62601,,23°32′42.9″S 46°28′27.4″W
Yekaterinburg Arena,56.8326,60.5734,2018 Russia,Yekaterinburg,33061,,56°49′57″N 60°34′25″E
Kaliningrad Stadium,54.6982,20.5337,2018 Russia,Kaliningrad,33973,,54°41′53″N 20°32′02″E
Kazan Arena,55.821,49.1608,2018 Russia,Kazan,42873,,55°49′16″N 49°09′39″E
Luzhniki Stadium,55.7158,37.5537,2018 Russia,Moscow,78011,,55°42′57″N 37°33′13″E
Spartak Stadium,55.8177,37.4402,2018 Russia,Moscow,44190,,55°49′4.3″N 37°26′24.9″E
Nizhny Novgorod Stadium,56.3375,43.9633,2018 Russia,Nizhny Novgorod,43319,,56°20′15″N 43°57′48″E
Rostov Arena,47.2094,39.7378,2018 Russia,Rostov-on-Don,43472,,47°12′34″N 39°44′16″E
Fisht Stadium,43.4011,39.9563,2018 Russia,Sochi,44287,,43°24′08″N 39°57′22″E
Samara Arena,53.278,50.2375,2018 Russia,Samara,41970,,53°16′40″N 50°14′14″E
Saint Petersburg Stadium,59.9727,30.2214,2018 Russia,Saint Petersburg,64468,,59°58′22.8″N 30°13′13.8″E
Mordovia Arena,54.182778,45.201389,2018 Russia,Saransk,41685,,54°10′58″N 45°12′05″E
Volgograd Arena,48.7344,44.5486,2018 Russia,Volgograd,43713,,48°44′04″N 44°32′55″E